state,district,pvi,result,unopposed,swing,adj_swing,swing_string,adj_swing_string
IN,5,9,13.523363926135879,FALSE,4.523363926135879,12.777775299646954,R+5,R+13
IN,6,18,30.956537567328297,FALSE,12.956537567328297,21.210948940839373,R+13,R+21
IN,7,-11,-29.72573025239435,FALSE,-18.72573025239435,-10.471318878883274,D+19,D+10
IN,8,15,28.859434035637825,FALSE,13.859434035637825,22.1138454091489,R+14,R+22
IN,9,13,12.964648567775036,FALSE,-0.03535143222496373,8.219059941286112,0,R+8
IA,1,-1,-5.056201625763293,FALSE,-4.056201625763293,4.198209747747782,D+4,R+4
IA,2,-1,-12.194763400689645,FALSE,-11.194763400689645,-2.9403520271785695,D+11,D+3
IA,3,1,-2.1639844936433477,FALSE,-3.1639844936433477,5.090426879867728,D+3,R+5
IA,4,11,3.329598309342991,FALSE,-7.670401690657009,0.5840096828540666,D+8,R+1
KS,1,24,36.29095441595442,FALSE,12.290954415954417,20.545365789465492,R+12,R+21
KS,2,10,0.8459015897962914,FALSE,-9.154098410203709,-0.8996870366926331,D+9,D+1
KS,3,4,-9.662552112622961,FALSE,-13.662552112622961,-5.408140739111886,D+14,D+5
KS,4,15,18.872814625885376,FALSE,3.8728146258853755,12.127225999396451,R+4,R+12
KY,1,23,37.176116263505115,FALSE,14.176116263505115,22.43052763701619,R+14,R+22
KY,2,19,35.64708853873205,FALSE,16.64708853873205,24.901499912243125,R+17,R+25
KY,3,-6,-25.49942594718714,FALSE,-19.49942594718714,-11.245014573676066,D+19,D+11
KY,4,18,27.65725024063068,FALSE,9.657250240630681,17.911661614141757,R+10,R+18
KY,5,31,57.88677029772907,FALSE,26.886770297729072,35.14118167124015,R+27,R+35
KY,6,9,3.213068857135319,FALSE,-5.786931142864681,2.4674802306463945,D+6,R+2
LA,1,24,44.93975679940592,FALSE,20.93975679940592,29.194168172916996,R+21,R+29
LA,2,-25,-80.59174004796976,TRUE,-55.591740047969765,-47.33732867445869,D+56,D+47
LA,3,20,38.03726879805484,FALSE,18.03726879805484,26.291680171565915,R+18,R+26
LA,4,13,30.6134494079457,FALSE,17.6134494079457,25.867860781456777,R+18,R+26
LA,5,15,36.571316299465046,FALSE,21.571316299465046,29.82572767297612,R+22,R+30
LA,6,19,40.903826459361326,FALSE,21.903826459361326,30.158237832872402,R+22,R+30
ME,1,-8,-26.31375839416699,FALSE,-18.31375839416699,-10.059347020655913,D+18,D+10
ME,2,2,-1.032444708232191,FALSE,-3.032444708232191,5.2219666652788845,D+3,R+5
MD,1,14,33.68984494760385,FALSE,19.689844947603852,27.944256321114928,R+20,R+28
MD,2,-11,-54.68985088867415,FALSE,-43.68985088867415,-35.435439515163075,D+44,D+35
MD,3,-13,-62.790246053073574,FALSE,-49.790246053073574,-41.5358346795625,D+50,D+42
MD,4,-28,-93.39933796202244,FALSE,-65.39933796202244,-57.14492658851137,D+65,D+57
MD,5,-16,-66.8938279647603,FALSE,-50.893827964760305,-42.63941659124923,D+51,D+43
MD,6,-6,-30.89993940875702,FALSE,-24.89993940875702,-16.645528035245945,D+25,D+17
MD,7,-26,-90.90281148489713,FALSE,-64.90281148489713,-56.64840011138605,D+65,D+57
MD,8,-14,-58.945678351618945,FALSE,-44.945678351618945,-36.69126697810787,D+45,D+37
MA,1,-12,-97.64407561088059,TRUE,-85.64407561088059,-77.38966423736952,D+86,D+77
MA,2,-9,-34.37817004980817,FALSE,-25.37817004980817,-17.123758676297093,D+25,D+17
MA,3,-9,-28.543606597285617,FALSE,-19.543606597285617,-11.289195223774541,D+20,D+11
MA,4,-9,-97.71847212926666,TRUE,-88.71847212926666,-80.46406075575558,D+89,D+80
MA,5,-18,-51.83892022458919,FALSE,-33.83892022458919,-25.584508851078112,D+34,D+26
MA,6,-6,-33.806422636424884,FALSE,-27.806422636424884,-19.55201126291381,D+28,D+20
MA,7,-34,-98.25235582616114,TRUE,-64.25235582616114,-55.99794445265006,D+64,D+56
MA,8,-10,-98.42465259184146,TRUE,-88.42465259184146,-80.17024121833039,D+88,D+80
MA,9,-4,-18.795534810204735,FALSE,-14.795534810204735,-6.54112343669366,D+15,D+7
MI,1,9,12.633196690496447,FALSE,3.6331966904964474,11.887608064007523,R+4,R+12
MI,2,9,12.347158248298477,FALSE,3.347158248298477,11.601569621809553,R+3,R+12
MI,3,6,11.238334298770681,FALSE,5.238334298770681,13.492745672281757,R+5,R+13
MI,4,10,25.248202069812308,FALSE,15.248202069812308,23.502613443323384,R+15,R+24
MI,5,-5,-23.60127779807751,FALSE,-18.60127779807751,-10.346866424566436,D+19,D+10
MI,6,4,4.550876164641252,FALSE,0.5508761646412523,8.805287538152328,R+1,R+9
MI,7,7,7.591676269233382,FALSE,0.5916762692333819,8.846087642744457,R+1,R+9
MI,8,4,-3.834387707008048,FALSE,-7.834387707008048,0.42002366650302747,D+8,0
MI,9,-4,-22.85602650354771,FALSE,-18.85602650354771,-10.601615130036635,D+19,D+11
MI,10,13,25.323694005226628,FALSE,12.323694005226628,20.578105378737703,R+12,R+21
MI,11,4,-6.682511591588508,FALSE,-10.682511591588508,-2.4281002180774323,D+11,D+2
MI,12,-14,-39.1928126315218,FALSE,-25.192812631521797,-16.93840125801072,D+25,D+17
MI,13,-32,-84.2362925944605,TRUE,-52.236292594460494,-43.98188122094942,D+52,D+44
MI,14,-30,-63.561816493958354,FALSE,-33.561816493958354,-25.307405120447278,D+34,D+25
MN,1,5,0.45086590253753656,FALSE,-4.5491340974624634,3.705277276048612,D+5,R+4
MN,2,2,-5.507622023386823,FALSE,-7.507622023386823,0.7467893501242528,D+8,R+1
MN,3,-1,-11.42055617682697,FALSE,-10.42055617682697,-2.1661448033158948,D+10,D+2
MN,4,-14,-36.24860778907776,FALSE,-22.24860778907776,-13.994196415566684,D+22,D+14
MN,5,-26,-56.28615031541422,FALSE,-30.28615031541422,-22.031738941903143,D+30,D+22
MN,6,12,22.36084452975048,FALSE,10.36084452975048,18.615255903261556,R+10,R+19
MN,7,12,-4.264162069418738,FALSE,-16.264162069418738,-8.009750695907663,D+16,D+8
MN,8,4,5.542135698622893,FALSE,1.542135698622893,9.796547072133968,R+2,R+10
MS,1,16,34.51871081214776,FALSE,18.51871081214776,26.773122185658835,R+19,R+27
MS,2,-14,-71.78684518405089,TRUE,-57.78684518405089,-49.532433810539814,D+58,D+50
MS,3,13,25.58508343342234,FALSE,12.58508343342234,20.839494806933416,R+13,R+21
MS,4,21,37.476087461784644,FALSE,16.476087461784644,24.73049883529572,R+16,R+25
MO,1,-29,-63.3855125284738,FALSE,-34.3855125284738,-26.13110115496272,D+34,D+26
MO,2,8,3.9530295214138036,FALSE,-4.046970478586196,4.207440894924879,D+4,R+4
MO,3,18,32.24011731072555,FALSE,14.240117310725552,22.494528684236627,R+14,R+22
MO,4,17,32.10530622264042,FALSE,15.105306222640422,23.359717596151498,R+15,R+23
MO,5,-7,-26.058459749458223,FALSE,-19.058459749458223,-10.804048375947147,D+19,D+11
MO,6,16,33.44236744824154,FALSE,17.44236744824154,25.696778821752616,R+17,R+26
MO,7,23,36.14477745357644,FALSE,13.144777453576438,21.399188827087514,R+13,R+21
MO,8,24,48.37045525890794,FALSE,24.37045525890794,32.624866632419014,R+24,R+33
MT,0,11,4.6344224368136935,FALSE,-6.3655775631863065,1.888833810324769,D+6,R+2
NE,1,11,20.71845677461124,FALSE,9.71845677461124,17.972868148122316,R+10,R+18
NE,2,4,1.9900597621586869,FALSE,-2.009940237841313,6.244471135669762,D+2,R+6
NE,3,27,53.44297340884372,FALSE,26.44297340884372,34.697384782354796,R+26,R+35
NV,1,-15,-35.30134493203067,FALSE,-20.301344932030673,-12.046933558519598,D+20,D+12
NV,2,7,16.46153364610467,FALSE,9.46153364610467,17.715945019615745,R+9,R+18
NV,3,2,-9.062858181208234,FALSE,-11.062858181208234,-2.808446807697159,D+11,D+3
NV,4,-3,-8.18076536607797,FALSE,-5.180765366077971,3.073646007433105,D+5,R+3
NH,1,2,-8.551431251481752,FALSE,-10.551431251481752,-2.2970198779706763,D+11,D+2
NH,2,-2,-13.35978977851665,FALSE,-11.35978977851665,-3.105378405005574,D+11,D+3
NJ,1,-13,-31.133407739789988,FALSE,-18.133407739789988,-9.878996366278912,D+18,D+10
NJ,2,1,-7.670990041143654,FALSE,-8.670990041143654,-0.416578667632578,D+9,0
NJ,3,2,-1.2946639511201639,FALSE,-3.294663951120164,4.959747422390912,D+3,R+5
NJ,4,8,12.332001576365393,FALSE,4.332001576365393,12.586412949876468,R+4,R+13
NJ,5,3,-13.68053461797146,FALSE,-16.68053461797146,-8.426123244460385,D+17,D+8
NJ,6,-9,-27.265082845453108,FALSE,-18.265082845453108,-10.010671471942032,D+18,D+10
NJ,7,3,-5.019489251476408,FALSE,-8.019489251476408,0.23492212203466778,D+8,0
NJ,8,-27,-59.40243068000391,FALSE,-32.40243068000391,-24.148019306492834,D+32,D+24
NJ,9,-16,-41.4028820054287,FALSE,-25.4028820054287,-17.148470631917625,D+25,D+17
NJ,10,-36,-77.469411817605,FALSE,-41.46941181760501,-33.21500044409393,D+41,D+33
NJ,11,3,-14.637146371463722,FALSE,-17.63714637146372,-9.382734997952646,D+18,D+9
NJ,12,-16,-37.362258543833576,FALSE,-21.362258543833576,-13.1078471703225,D+21,D+13
NM,1,-7,-22.80805259228935,FALSE,-15.80805259228935,-7.553641218778274,D+16,D+8
NM,2,6,-1.8679487694222487,FALSE,-7.867948769422249,0.3864626040888268,D+8,0
NM,3,-8,-32.16670137570286,FALSE,-24.166701375702857,-15.912290002191781,D+24,D+16
